"Horodateur","Prénom","Nom","Promotion","Activités et métiers","Motivation","Anglais"
"2021/08/17 3:32:41 PM UTC+2","Aadam","Sofia","2020","SCIENCE","ADMINISTRATION","False"
"2021/08/17 3:32:41 PM UTC+2","Meline","Valentin","2020","SPATIAL;INTELLIGENCE_ARTIFICIELLE","ENTREPRISE;RESEAUTER","False"
"2021/08/17 3:32:41 PM UTC+2","Joshua","Charline","2020","POLITIQUE","CONFIDENT;RESEAUTER","True"
"2021/08/17 3:32:41 PM UTC+2","Nicolas","Hyanis","2020","STRATEGIE;FINANCE","CONFIDENT;ENTREPRENEURIAT","True"
"2021/08/17 3:32:41 PM UTC+2","Emanuel","Romi","2020","SPATIAL;SCIENCE","CONFIDENT","False"
"2021/08/17 3:32:41 PM UTC+2","Victor","Corenthin","2020","NUCLEAIRE;AERONAUTIQUE;DEFENSE","RECHERCHE","False"
"2021/08/17 3:32:41 PM UTC+2","Nhoa","Maria","2020","AERONAUTIQUE","ENTREPRISE","True"
"2021/08/17 3:32:41 PM UTC+2","Arsene","Basile","2020","SCIENCE;FINANCE","ENTREPRENEURIAT","False"
"2021/08/17 3:32:41 PM UTC+2","Louis","Auguste","2020","DATA;ENERGIE","ENTREPRISE","True"
"2021/08/17 3:32:41 PM UTC+2","Malho","Ian","2020","ECONOMIE;INTELLIGENCE_ARTIFICIELLE;DEFENSE","CONFIDENT;ADMINISTRATION","False"
"2021/08/17 3:32:41 PM UTC+2","Charline","Julie","2020","SCIENCE;CONSEIL;POLITIQUE","ENTREPRISE;ADMINISTRATION","False"
"2021/08/17 3:32:41 PM UTC+2","Melissa","Hylies","2020","POLITIQUE","CONFIDENT","True"
"2021/08/17 3:32:41 PM UTC+2","Erwan","Clhoe","2020","DATA","RECHERCHE","False"
"2021/08/17 3:32:41 PM UTC+2","Ali","Anthoni","2020","SCIENCE","RECHERCHE","False"
"2021/08/17 3:32:41 PM UTC+2","Mathilde","Louka","2020","MANAGEMENT;FINANCE","RECHERCHE","True"
"2021/08/17 3:32:41 PM UTC+2","Lehina","Marin","2020","ENERGIE;CONSEIL","ENTREPRISE;RESEAUTER","True"
"2021/08/17 3:32:41 PM UTC+2","Charline","Khylian","2020","POLITIQUE","ENTREPRENEURIAT;ADMINISTRATION","True"
"2021/08/17 3:32:41 PM UTC+2","Laula","Mannon","2020","CONSEIL","ENTREPRISE;RESEAUTER","True"
"2021/08/17 3:32:41 PM UTC+2","Alban","Laugan","2020","DURABLE;DEFENSE","CONFIDENT","True"
"2021/08/17 3:32:41 PM UTC+2","Jeremi","Anthoine","2020","ECONOMIE;ENERGIE;FINANCE","ENTREPRISE;RESEAUTER","True"
"2021/08/17 3:32:41 PM UTC+2","Ahamed","Mathias","2020","DATA;SPATIAL;DURABLE;DEFENSE","ENTREPRISE;RECHERCHE","False"
"2021/08/17 3:32:41 PM UTC+2","Alex","Mae-li","2020","STRATEGIE;SPATIAL;DATA","ENTREPRENEURIAT;ADMINISTRATION","False"
"2021/08/17 3:32:41 PM UTC+2","Mari","Morgane","2020","STRATEGIE;ENERGIE","CONFIDENT;RESEAUTER","True"
"2021/08/17 3:32:41 PM UTC+2","Erwan","Huggo","2020","SCIENCE;DEFENSE","RECHERCHE","False"
"2021/08/17 3:32:41 PM UTC+2","Ninon","Erwan","2020","SCIENCE;DURABLE;DEFENSE","ADMINISTRATION","False"
"2021/08/17 3:32:41 PM UTC+2","Diego","Nael","2020","MANAGEMENT;CONSEIL;DEFENSE","RESEAUTER;ENTREPRENEURIAT","True"
"2021/08/17 3:32:41 PM UTC+2","Eli","Amelia","2020","SPATIAL","ENTREPRISE;RECHERCHE","False"
"2021/08/17 3:32:41 PM UTC+2","Leana","Amir","2020","INTELLIGENCE_ARTIFICIELLE;CONSEIL","CONFIDENT","False"
"2021/08/17 3:32:41 PM UTC+2","Luca","Nehila","2020","STRATEGIE;AERONAUTIQUE","ENTREPRISE","False"
"2021/08/17 3:32:41 PM UTC+2","Roxane","Hyacine","2020","STRATEGIE;CONSEIL;AERONAUTIQUE","ENTREPRISE","False"
"2021/08/17 3:32:41 PM UTC+2","Malho","Emi","2020","MATHS;ENERGIE;MANAGEMENT;FINANCE","CONFIDENT;ENTREPRENEURIAT","False"
"2021/08/17 3:32:41 PM UTC+2","Ali","Laurine","2020","INTELLIGENCE_ARTIFICIELLE","ENTREPRISE;RESEAUTER","False"
"2021/08/17 3:32:41 PM UTC+2","Sofi","Ulisse","2020","MANAGEMENT","CONFIDENT;RECHERCHE","True"
"2021/08/17 3:32:41 PM UTC+2","Gaspard","Aioub","2020","SPATIAL;CONSEIL","ENTREPRISE","True"
"2021/08/17 3:32:41 PM UTC+2","Sofia","Camille","2020","DURABLE;FINANCE","ADMINISTRATION","True"
"2021/08/17 3:32:41 PM UTC+2","Nahim","Thony","2020","DATA;AERONAUTIQUE","ADMINISTRATION","True"
"2021/08/17 3:32:41 PM UTC+2","Melissa","Lili","2020","MATHS;FINANCE","ENTREPRISE","True"
"2021/08/17 3:32:41 PM UTC+2","Garance","Maria","2020","DATA;DURABLE","RESEAUTER;ADMINISTRATION","True"
"2021/08/17 3:32:41 PM UTC+2","Isaac","Victoria","2020","ECONOMIE;ENERGIE;DURABLE;CONSEIL","ENTREPRISE;CONFIDENT","True"
"2021/08/17 3:32:41 PM UTC+2","Celeste","Soline","2020","SPATIAL;SCIENCE;AERONAUTIQUE","RECHERCHE","False"
"2021/08/17 3:32:41 PM UTC+2","Lhya","Lise","2020","NUCLEAIRE;CONSEIL","ENTREPRISE;RESEAUTER","True"
"2021/08/17 3:32:41 PM UTC+2","Noemi","Mehlia","2020","NUCLEAIRE;DURABLE;AERONAUTIQUE;POLITIQUE","ENTREPRISE;RECHERCHE","True"
"2021/08/17 3:32:41 PM UTC+2","Nahila","Hissa","2020","SCIENCE;ENERGIE;INTELLIGENCE_ARTIFICIELLE","ADMINISTRATION","False"
"2021/08/17 3:32:41 PM UTC+2","Lhouna","Fathima","2020","CONSEIL","CONFIDENT","False"
"2021/08/17 3:32:41 PM UTC+2","Lara","Emanuel","2020","INTELLIGENCE_ARTIFICIELLE","ENTREPRISE;RECHERCHE","False"
"2021/08/17 3:32:41 PM UTC+2","Emili","Hilyana","2020","SPATIAL","ENTREPRISE","True"
"2021/08/17 3:32:41 PM UTC+2","Ismael","Aalia","2020","STRATEGIE;MANAGEMENT","CONFIDENT;ADMINISTRATION","True"
"2021/08/17 3:32:41 PM UTC+2","Rahyan","Emili","2020","SPATIAL;AERONAUTIQUE;POLITIQUE","ADMINISTRATION","False"
"2021/08/17 3:32:41 PM UTC+2","Anaele","Erwan","2020","INTELLIGENCE_ARTIFICIELLE;DURABLE;POLITIQUE","CONFIDENT","True"
"2021/08/17 3:32:41 PM UTC+2","Fathima","Anaele","2020","NUCLEAIRE;AERONAUTIQUE","ENTREPRISE;RESEAUTER","False"
"2021/08/17 3:32:41 PM UTC+2","Melvin","Mahissa","2020","ECONOMIE;ENERGIE;AERONAUTIQUE;CONSEIL","RECHERCHE","True"
"2021/08/17 3:32:41 PM UTC+2","Bilal","Marin","2020","ECONOMIE;NUCLEAIRE;DATA;FINANCE","CONFIDENT;ENTREPRENEURIAT","True"
"2021/08/17 3:32:41 PM UTC+2","Gael","Melina","2020","DURABLE;AERONAUTIQUE;MANAGEMENT;CONSEIL","ENTREPRENEURIAT","True"
"2021/08/17 3:32:41 PM UTC+2","Thiago","Cassandre","2020","SCIENCE","ENTREPRENEURIAT","True"
"2021/08/17 3:32:41 PM UTC+2","Eliot","Clementine","2020","SPATIAL;ENERGIE;DEFENSE","RESEAUTER","True"
"2021/08/17 3:32:41 PM UTC+2","Rafael","Sacha","2020","POLITIQUE","CONFIDENT;RECHERCHE","True"
"2021/08/17 3:32:41 PM UTC+2","Florian","Meline","2020","DATA;MANAGEMENT","RECHERCHE","True"
"2021/08/17 3:32:41 PM UTC+2","Pauline","Huggo","2020","NUCLEAIRE;INTELLIGENCE_ARTIFICIELLE;CONSEIL","ENTREPRISE;ENTREPRENEURIAT","False"
"2021/08/17 3:32:41 PM UTC+2","Assia","Mariam","2020","SCIENCE;FINANCE","RECHERCHE","True"
"2021/08/17 3:32:41 PM UTC+2","Daniel","Felix","2020","ECONOMIE;POLITIQUE","RESEAUTER;RECHERCHE","False"
"2021/08/17 3:32:41 PM UTC+2","Yassine","Lhyna","2020","DURABLE;DEFENSE","RESEAUTER","False"
"2021/08/17 3:32:41 PM UTC+2","Maeline","Daniel","2020","MATHS","ENTREPRENEURIAT;ADMINISTRATION","False"
"2021/08/17 3:32:41 PM UTC+2","Lilian","Constance","2020","INTELLIGENCE_ARTIFICIELLE;SCIENCE;DEFENSE","CONFIDENT","True"
"2021/08/17 3:32:41 PM UTC+2","Ahna","Leonard","2020","ENERGIE;AERONAUTIQUE;FINANCE;POLITIQUE","RECHERCHE","False"
"2021/08/17 3:32:41 PM UTC+2","Hylian","Huggo","2020","MATHS;INTELLIGENCE_ARTIFICIELLE;DEFENSE","ENTREPRISE;RECHERCHE","True"
"2021/08/17 3:32:41 PM UTC+2","Noahm","Cali","2020","ECONOMIE;SCIENCE","ENTREPRENEURIAT;ADMINISTRATION","True"
"2021/08/17 3:32:41 PM UTC+2","Mateo","Etan","2020","DURABLE;POLITIQUE","CONFIDENT","False"
"2021/08/17 3:32:41 PM UTC+2","Constance","Marilou","2020","AERONAUTIQUE;DEFENSE","ADMINISTRATION","False"
"2021/08/17 3:32:41 PM UTC+2","Paul","Aiden","2020","MANAGEMENT;CONSEIL","ENTREPRENEURIAT","True"
"2021/08/17 3:32:41 PM UTC+2","Marin","Mael","2020","NUCLEAIRE","ENTREPRISE;ADMINISTRATION","False"
"2021/08/17 3:32:41 PM UTC+2","Salma","Nicolas","2020","MATHS;SPATIAL;DATA","ENTREPRISE","False"
"2021/08/17 3:32:41 PM UTC+2","Esteban","Victoria","2020","SCIENCE;CONSEIL;FINANCE","RESEAUTER","True"
"2021/08/17 3:32:41 PM UTC+2","Mia","Sacha","2020","INTELLIGENCE_ARTIFICIELLE;CONSEIL;AERONAUTIQUE;NUCLEAIRE","CONFIDENT;RESEAUTER","False"
"2021/08/17 3:32:41 PM UTC+2","Clhoe","Lea","2020","DATA;SPATIAL;DURABLE","ENTREPRISE","True"
"2021/08/17 3:32:41 PM UTC+2","Thiago","Margaux","2020","STRATEGIE","ENTREPRISE;RECHERCHE","True"
"2021/08/17 3:32:41 PM UTC+2","Clea","Amir","2020","STRATEGIE;SCIENCE;AERONAUTIQUE;POLITIQUE","ENTREPRISE;RECHERCHE","False"
"2021/08/17 3:32:41 PM UTC+2","Erwan","Marcel","2020","DATA","ENTREPRISE;RESEAUTER","False"
"2021/08/17 3:32:41 PM UTC+2","Louka","Camile","2020","SPATIAL;CONSEIL;DEFENSE","ENTREPRENEURIAT;ADMINISTRATION","False"
"2021/08/17 3:32:41 PM UTC+2","Oscar","Leena","2020","CONSEIL","ENTREPRISE","True"
"2021/08/17 3:32:41 PM UTC+2","Leandre","Louise","2020","AERONAUTIQUE","ENTREPRENEURIAT","True"
"2021/08/17 3:32:41 PM UTC+2","Nahomi","Lahyana","2020","SPATIAL","ADMINISTRATION","False"
"2021/08/17 3:32:41 PM UTC+2","Candice","Kenzo","2020","DATA;MANAGEMENT;POLITIQUE","RESEAUTER","True"
"2021/08/17 3:32:41 PM UTC+2","Esteban","Marin","2020","DATA;CONSEIL;POLITIQUE","RECHERCHE","True"
