"Horodateur","Prénom","Nom","Promotion","Activités et métiers","Motivation","Anglais"
"2021/08/17 3:32:41 PM UTC+2","Cassandre","Thiago","1982","NUCLEAIRE","ADMINISTRATION","False"
"2021/08/17 3:32:41 PM UTC+2","Mohamed","Hissa","1996","MATHS;INTELLIGENCE_ARTIFICIELLE;AERONAUTIQUE;POLITIQUE","ADMINISTRATION","True"
"2021/08/17 3:32:41 PM UTC+2","Amelia","Ali","1989","INTELLIGENCE_ARTIFICIELLE;CONSEIL","ENTREPRISE;ENTREPRENEURIAT","False"
"2021/08/17 3:32:41 PM UTC+2","Assia","Tess","2008","SPATIAL;MANAGEMENT;AERONAUTIQUE","ENTREPRENEURIAT","False"
"2021/08/17 3:32:41 PM UTC+2","Anthonin","Kenza","1986","DEFENSE","CONFIDENT","True"
"2021/08/17 3:32:41 PM UTC+2","Ameli","Mari","1985","ECONOMIE;SCIENCE;DURABLE;MANAGEMENT","ENTREPRENEURIAT","True"
"2021/08/17 3:32:41 PM UTC+2","Younes","Abel","1977","MANAGEMENT;POLITIQUE","RECHERCHE","True"
"2021/08/17 3:32:41 PM UTC+2","Marine","Alexis","1982","MANAGEMENT;AERONAUTIQUE","CONFIDENT;RECHERCHE","True"
"2021/08/17 3:32:41 PM UTC+2","Ameli","Maiween","1979","NUCLEAIRE;DURABLE;AERONAUTIQUE","RESEAUTER","True"
"2021/08/17 3:32:41 PM UTC+2","Anthoine","Hyanis","2009","SCIENCE;ECONOMIE;FINANCE","RESEAUTER","False"
"2021/08/17 3:32:41 PM UTC+2","Naulan","Keelian","1974","SPATIAL;DURABLE;FINANCE","ENTREPRISE;ENTREPRENEURIAT","True"
"2021/08/17 3:32:41 PM UTC+2","Camile","Laura","1995","ECONOMIE","ENTREPRISE;RESEAUTER","True"
"2021/08/17 3:32:41 PM UTC+2","Victor","Huggo","1991","DATA;ECONOMIE;DURABLE;AERONAUTIQUE","RECHERCHE","False"
"2021/08/17 3:32:41 PM UTC+2","Rubben","Eeva","1972","MATHS;NUCLEAIRE;AERONAUTIQUE;POLITIQUE","ADMINISTRATION","True"
"2021/08/17 3:32:41 PM UTC+2","Marin","Baptiste","1993","INTELLIGENCE_ARTIFICIELLE;SCIENCE;FINANCE","ENTREPRISE;ENTREPRENEURIAT","False"
"2021/08/17 3:32:41 PM UTC+2","Imrane","Clara","1999","DATA;AERONAUTIQUE;DEFENSE","RESEAUTER","False"
"2021/08/17 3:32:41 PM UTC+2","Diego","Mae-li","2002","SCIENCE;CONSEIL","ENTREPRISE;RECHERCHE","True"
"2021/08/17 3:32:41 PM UTC+2","Clhoe","Mahia","1996","STRATEGIE;SPATIAL;DURABLE","RECHERCHE","False"
"2021/08/17 3:32:41 PM UTC+2","Marceau","Maelia","1986","STRATEGIE;MATHS;CONSEIL;DEFENSE","CONFIDENT","False"
"2021/08/17 3:32:41 PM UTC+2","Hilan","Ela","1973","INTELLIGENCE_ARTIFICIELLE;POLITIQUE","CONFIDENT;RECHERCHE","True"
"2021/08/17 3:32:41 PM UTC+2","Marius","Amelia","1984","POLITIQUE","CONFIDENT;RECHERCHE","True"
"2021/08/17 3:32:41 PM UTC+2","Nahia","Chahina","1977","SCIENCE;INTELLIGENCE_ARTIFICIELLE;AERONAUTIQUE;NUCLEAIRE","ENTREPRENEURIAT","True"
"2021/08/17 3:32:41 PM UTC+2","Augustin","Alexis","1978","SCIENCE;SPATIAL;FINANCE","CONFIDENT;ADMINISTRATION","False"
"2021/08/17 3:32:41 PM UTC+2","Wilhiam","Saara","2007","NUCLEAIRE;SPATIAL;DEFENSE","RESEAUTER","True"
"2021/08/17 3:32:41 PM UTC+2","Thiago","Leeya","1998","POLITIQUE","RESEAUTER;ENTREPRENEURIAT","False"
"2021/08/17 3:32:41 PM UTC+2","Amine","Mannon","1981","NUCLEAIRE;POLITIQUE","ENTREPRISE;ADMINISTRATION","False"
"2021/08/17 3:32:41 PM UTC+2","Aaya","Auceane","1989","POLITIQUE","RESEAUTER;ENTREPRENEURIAT","True"
"2021/08/17 3:32:41 PM UTC+2","Anais","Djibril","1977","DATA;ECONOMIE","RESEAUTER;ADMINISTRATION","True"
"2021/08/17 3:32:41 PM UTC+2","Axel","Moussa","1973","MATHS;POLITIQUE","RECHERCHE","False"
"2021/08/17 3:32:41 PM UTC+2","Thiago","Aicha","1993","ECONOMIE;ENERGIE;AERONAUTIQUE","ENTREPRISE","True"
"2021/08/17 3:32:41 PM UTC+2","Isma'il","Nhoé","1980","STRATEGIE;NUCLEAIRE;DURABLE;AERONAUTIQUE","CONFIDENT;RESEAUTER","False"
"2021/08/17 3:32:41 PM UTC+2","Thomas","Saffia","2009","STRATEGIE;MANAGEMENT;POLITIQUE","RESEAUTER","True"
"2021/08/17 3:32:41 PM UTC+2","Sofia","Quentin","1998","ECONOMIE;DURABLE;CONSEIL;AERONAUTIQUE","ENTREPRISE;ENTREPRENEURIAT","True"
"2021/08/17 3:32:41 PM UTC+2","Valentine","Mia","1997","DATA","RESEAUTER;ADMINISTRATION","False"
"2021/08/17 3:32:41 PM UTC+2","Melissa","Nina","2006","STRATEGIE;MATHS;DEFENSE","ENTREPRISE","False"
"2021/08/17 3:32:41 PM UTC+2","Gabin","Mae-lee","1988","POLITIQUE","ADMINISTRATION","False"
"2021/08/17 3:32:41 PM UTC+2","Aaya","Alissa","2002","SCIENCE;POLITIQUE","ENTREPRENEURIAT","False"
"2021/08/17 3:32:41 PM UTC+2","Louis","Achile","1972","SCIENCE;CONSEIL","ENTREPRISE;ADMINISTRATION","True"
"2021/08/17 3:32:41 PM UTC+2","Meddhi","Felix","1982","MANAGEMENT","RESEAUTER;RECHERCHE","True"
"2021/08/17 3:32:41 PM UTC+2","Imrane","Morgan","2006","ECONOMIE","ENTREPRISE;RECHERCHE","True"
"2021/08/17 3:32:41 PM UTC+2","Ela","Marilou","2001","SCIENCE;CONSEIL;ECONOMIE","ENTREPRISE","False"
"2021/08/17 3:32:41 PM UTC+2","Maiween","Eline","2009","SPATIAL;FINANCE","ENTREPRENEURIAT","True"
"2021/08/17 3:32:41 PM UTC+2","Eleonore","Diego","1983","ECONOMIE","ENTREPRISE;ENTREPRENEURIAT","True"
"2021/08/17 3:32:41 PM UTC+2","Zeli","Wassim","1986","STRATEGIE;MANAGEMENT;POLITIQUE","ADMINISTRATION","True"
"2021/08/17 3:32:41 PM UTC+2","Amira","Apauline","1996","STRATEGIE;ENERGIE","ADMINISTRATION","False"
"2021/08/17 3:32:41 PM UTC+2","Mae-lee","Jeane","1976","MANAGEMENT","ENTREPRISE","False"
"2021/08/17 3:32:41 PM UTC+2","Younes","Eleonore","1982","MATHS;SPATIAL;INTELLIGENCE_ARTIFICIELLE;DEFENSE","RESEAUTER","False"
"2021/08/17 3:32:41 PM UTC+2","Noemi","Sandro","2001","NUCLEAIRE;POLITIQUE","RESEAUTER","True"
"2021/08/17 3:32:41 PM UTC+2","Arsene","Lhya","1989","MATHS;SCIENCE","CONFIDENT;ADMINISTRATION","False"
"2021/08/17 3:32:41 PM UTC+2","Marin","Livia","2002","DATA;ENERGIE;MANAGEMENT;FINANCE","ENTREPRISE;RESEAUTER","True"
"2021/08/17 3:32:41 PM UTC+2","Morgan","Lluna","2009","INTELLIGENCE_ARTIFICIELLE;SPATIAL;AERONAUTIQUE","CONFIDENT;ENTREPRISE","False"
"2021/08/17 3:32:41 PM UTC+2","Imrane","Maeva","2005","INTELLIGENCE_ARTIFICIELLE;ENERGIE;DEFENSE","ENTREPRISE;RECHERCHE","True"
"2021/08/17 3:32:41 PM UTC+2","Kenza","Eliana","1978","DATA;DEFENSE","RESEAUTER","False"
"2021/08/17 3:32:41 PM UTC+2","Lucas","Sofia","2000","MATHS;SPATIAL;CONSEIL;POLITIQUE","ENTREPRISE;RESEAUTER","False"
"2021/08/17 3:32:41 PM UTC+2","Mannon","Charli","2003","NUCLEAIRE","CONFIDENT;ENTREPRISE","False"
"2021/08/17 3:32:41 PM UTC+2","Guilaume","Ulisse","1981","CONSEIL;POLITIQUE","ENTREPRISE","False"
"2021/08/17 3:32:41 PM UTC+2","Romane","Sacha","1988","INTELLIGENCE_ARTIFICIELLE;ENERGIE","RESEAUTER;ENTREPRENEURIAT","True"
"2021/08/17 3:32:41 PM UTC+2","Kenzo","Naura","1979","AERONAUTIQUE","RESEAUTER;ADMINISTRATION","True"
"2021/08/17 3:32:41 PM UTC+2","Malho","Lhouna","1980","MATHS;SCIENCE;FINANCE","ADMINISTRATION","True"
"2021/08/17 3:32:41 PM UTC+2","Lilia","Eden","1974","ENERGIE;DURABLE;POLITIQUE","ENTREPRISE;RECHERCHE","False"
"2021/08/17 3:32:41 PM UTC+2","Miriam","Lali","1994","STRATEGIE;ENERGIE;DATA;DEFENSE","ENTREPRISE","False"
"2021/08/17 3:32:41 PM UTC+2","Laura","Khiara","2002","ECONOMIE;DURABLE","ENTREPRISE","False"
