"Horodateur","Prénom","Nom","Promotion","Activités et métiers","Motivation","Anglais"
"2021/08/17 3:32:41 PM UTC+2","Ioan","Laula","1986","ECONOMIE;MATHS","CONFIDENT;ADMINISTRATION","False"
"2021/08/17 3:32:41 PM UTC+2","Mael","Amira","1998","POLITIQUE","ENTREPRISE;ADMINISTRATION","False"
"2021/08/17 3:32:41 PM UTC+2","Justine","Margaut","1988","ECONOMIE;DATA","RESEAUTER;ENTREPRENEURIAT","False"
"2021/08/17 3:32:41 PM UTC+2","Bastien","Camile","1995","SCIENCE;MANAGEMENT;POLITIQUE;FINANCE","RESEAUTER;ENTREPRISE","False"
"2021/08/17 3:32:41 PM UTC+2","Lhouna","Melvin","1994","INTELLIGENCE_ARTIFICIELLE;STRATEGIE;SCIENCE;MATHS","RECHERCHE;RESEAUTER","True"
"2021/08/17 3:32:41 PM UTC+2","Aaya","Chloe","2007","DATA","ADMINISTRATION","True"
"2021/08/17 3:32:41 PM UTC+2","Elea","Eeva","2005","DATA;INTELLIGENCE_ARTIFICIELLE","RESEAUTER;ADMINISTRATION","True"
"2021/08/17 3:32:41 PM UTC+2","Alix","Louis","2008","SCIENCE","ADMINISTRATION;ENTREPRISE","True"
"2021/08/17 3:32:41 PM UTC+2","Leandre","Auguste","1991","NUCLEAIRE;ENERGIE","RESEAUTER;RECHERCHE","True"
"2021/08/17 3:32:41 PM UTC+2","Edden","Amira","1972","DEFENSE;SPATIAL;POLITIQUE","CONFIDENT;ENTREPRISE","False"
"2021/08/17 3:32:41 PM UTC+2","Apauline","Saara","1994","SCIENCE;AERONAUTIQUE","ADMINISTRATION","False"
"2021/08/17 3:32:41 PM UTC+2","Eliot","Joy","1972","MANAGEMENT;SCIENCE;SPATIAL","RESEAUTER","True"
"2021/08/17 3:32:41 PM UTC+2","Aaya","Laula","1986","INTELLIGENCE_ARTIFICIELLE","ENTREPRENEURIAT;ADMINISTRATION","False"
"2021/08/17 3:32:41 PM UTC+2","Daniel","Victoria","2006","MATHS","ENTREPRENEURIAT;RESEAUTER","True"
"2021/08/17 3:32:41 PM UTC+2","Chahima","Eeva","2001","AERONAUTIQUE;FINANCE;SPATIAL;INTELLIGENCE_ARTIFICIELLE","RESEAUTER;ENTREPRISE","True"
"2021/08/17 3:32:41 PM UTC+2","Natanael","Elias","2002","ECONOMIE;ENERGIE","ADMINISTRATION","False"
"2021/08/17 3:32:41 PM UTC+2","Ismael","Selena","2002","STRATEGIE;AERONAUTIQUE;ENERGIE;DURABLE","ENTREPRENEURIAT;CONFIDENT","True"
"2021/08/17 3:32:41 PM UTC+2","Clementine","Iris","1984","SPATIAL;DEFENSE","ADMINISTRATION;RECHERCHE","True"
"2021/08/17 3:32:41 PM UTC+2","Imraan","Auguste","1979","SPATIAL;POLITIQUE","ADMINISTRATION","False"
"2021/08/17 3:32:41 PM UTC+2","Andrea","Rubben","2002","POLITIQUE","CONFIDENT;ADMINISTRATION","False"
